series_id,unit_id,variant,cam_name,game_namespace,vtable_addr,slot1_execute
003ZZGNDM,013QUB2BL,001,FunnelShotUnizonHissatsu,EXVS2,0x141640460,0x14068E280
003ZZGNDM,013QUB2BL,001,FunnelShotUnizonNormal,EXVS2,0x1416405F8,0x14068E280
003ZZGNDM,013QUB2BL,001,WinloseFunnel,EXVS2,0x141640798,0x14068E280
003ZZGNDM,015DVNWLF,001,BeamHandFlySworldSticker,EXVS2,0x141640B80,0x14068E280
003ZZGNDM,015DVNWLF,001,ExplosionSaber,EXVS2,0x141640C20,0x14068E280
003ZZGNDM,015DVNWLF,001,HissatsuSpaceWolfCorps,EXVS2,0x141640D30,0x14068E280
003ZZGNDM,015DVNWLF,001,IncomFly,EXVS2,0x141640F88,0x14068E280
003ZZGNDM,015DVNWLF,001,IncomRelay,EXVS2,0x141641028,0x14068E280
003ZZGNDM,015DVNWLF,001,SwDvnWlfWire,EXVS2,0x141640E40,0x14068E280
003ZZGNDM,015DVNWLF,001,WireExplosion,EXVS2,0x1416410C8,0x14068E280
004GUNF91,002BRGGRS,001,Bagu,EXVS2,0x1416414F8,0x14068E280
004GUNF91,002BRGGRS,001,DenanzonHissatsu,EXVS2,0x1416412D8,0x14068E280
004GUNF91,002BRGGRS,001,DenanzonMachinegun,EXVS2,0x141641600,0x14068E280
004GUNF91,002BRGGRS,001,DenanzonShot,EXVS2,0x141641400,0x14068E280
004GUNF91,002BRGGRS,001,Shotlancer,EXVS2,0x141641180,0x14068E280
005VGUNDM,001V2GNDM,001,MgShield,EXVS2,0x1416416A0,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistGunezMatedefence,EXVS2,0x141641880,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistGunezRush,EXVS2,0x141641D18,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistGunezSelfdefence,EXVS2,0x1416417A0,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistGunezShotMissile,EXVS2,0x141642250,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistGunezShotRifle,EXVS2,0x141642178,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistHexaShot,EXVS2,0x141642548,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistSpGrap,EXVS2,0x141642450,0x14068E280
005VGUNDM,002GUNEZ0,001,AssistSpShot,EXVS2,0x141642358,0x14068E280
005VGUNDM,003GOTRTN,001,V2Shield,EXVS2,0x1416426E0,0x14068E280
005VGUNDM,004VGUNDM,001,TukimatoiParts,EXVS2,0x141643680,0x14068E280
005VGUNDM,012RIGCNT,001,ShotClawFlyRush,EXVS2,0x1416429D0,0x14068E280
005VGUNDM,012RIGCNT,001,ShotClawTsukimatoiSelf,EXVS2,0x141642880,0x14068E280
005VGUNDM,012RIGCNT,001,SpShotClawRush,EXVS2,0x141642B20,0x14068E280
005VGUNDM,012RIGCNT,001,SpShotClawShot,EXVS2,0x141642C68,0x14068E280
005VGUNDM,013GEDLAV,001,AnchorThrowTaiya,EXVS2,0x1416434E0,0x14068E280
005VGUNDM,013GEDLAV,001,TaiyaThrow,EXVS2,0x141643078,0x14068E280
007GUNDMX,001GNDMDX,001,AssistGFalconRushShot,EXVS2,0x141643C18,0x14068E280
007GUNDMX,001GNDMDX,001,AssistGbit,EXVS2,0x141643AF0,0x14068E280
007GUNDMX,001GNDMDX,001,AssistGbitSatellite,EXVS2,0x1416439D8,0x14068E280
007GUNDMX,001GNDMDX,001,BeamJavelin,EXVS2,0x141643828,0x14068E280
007GUNDMX,001GNDMDX,001,GFalconAParts,EXVS2,0x1416438C8,0x14068E280
007GUNDMX,002GNVSCB,001,AutomataAshtaron,EXVS2,0x141643D40,0x14068E280
007GUNDMX,003GUNXDV,001,AssistGbitSatelliteNeet,EXVS2,0x141643EB8,0x14068E280
007GUNDMX,004GUNDMX,001,AssistAirMasterRush,EXVS2,0x141644170,0x14068E280
007GUNDMX,004GUNDMX,001,AssistAirMasterShot,EXVS2,0x141644490,0x14068E280
007GUNDMX,004GUNDMX,001,AssistLeopardRush,EXVS2,0x141644068,0x14068E280
007GUNDMX,004GUNDMX,001,AssistLeopardRushCombo,EXVS2,0x141644280,0x14068E280
007GUNDMX,004GUNDMX,001,AssistLeopardShot,EXVS2,0x141644388,0x14068E280
007GUNDMX,004GUNDMX,001,Microwave,EXVS2,0x141679780,0x14068E280
007GUNDMX,004GUNDMX,002,AssistAirMasterRush,EXVS2,0x1416446A8,0x14068E280
007GUNDMX,004GUNDMX,002,AssistAirMasterShot,EXVS2,0x1416449C8,0x14068E280
007GUNDMX,004GUNDMX,002,AssistLeopardRush,EXVS2,0x1416445A0,0x14068E280
007GUNDMX,004GUNDMX,002,AssistLeopardRushCombo,EXVS2,0x1416447B8,0x14068E280
007GUNDMX,004GUNDMX,002,AssistLeopardShot,EXVS2,0x1416448C0,0x14068E280
007GUNDMX,006BERTIG,001,AssistJuraguGround,EXVS2,0x141644DB8,0x14068E280
007GUNDMX,006BERTIG,001,FunnelFly,EXVS2,0x141644B10,0x14068E280
007GUNDMX,006BERTIG,001,FunnelFlyShot,EXVS2,0x141645140,0x14068E280
007GUNDMX,006BERTIG,001,FunnelNet,EXVS2,0x141644FF8,0x14068E280
007GUNDMX,006BERTIG,001,FunnelShot,EXVS2,0x141644CB0,0x14068E280
007GUNDMX,006BERTIG,001,WinJuragu,EXVS2,0x141644E60,0x14068E280
008GNDM08,001GNDEZ8,001,AssistGmhead,EXVS2,0x141645248,0x14068E280
008GNDM08,001GNDEZ8,001,AssistGngrnd,EXVS2,0x141645350,0x14068E280
008GNDM08,001GNDEZ8,001,AssistHoverTrack,EXVS2,0x141645480,0x14068E280
008GNDM08,001GNDEZ8,001,Webnet,EXVS2,0x141645560,0x14068E280
008GNDM08,002GOUFCS,001,Heatrod,EXVS2,0x141645638,0x14068E280
008GNDM08,002GOUFCS,001,JetcoreBooster,EXVS2,0x141645768,0x14068E280
010TURNAG,001TURNAG,001,HammerShot,EXVS2,0x1416458F8,0x14068E280
010TURNAG,001TURNAG,001,ResidingHammer,EXVS2,0x141645840,0x14068E280
010TURNAG,002TURNX0,001,FunnelBloodySiegeArm,EXVS2,0x141645AF8,0x14068E280
010TURNAG,002TURNX0,001,FunnelBloodySiegeMune,EXVS2,0x14167D358,0x14068E280
010TURNAG,002TURNX0,001,FunnelFly,EXVS2,0x141645C48,0x14068E280
010TURNAG,002TURNX0,001,FunnelPunch,EXVS2,0x141645D98,0x14068E280
010TURNAG,002TURNX0,001,FunnelShot,EXVS2,0x141645F30,0x14068E280
010TURNAG,002TURNX0,001,FunnelShotMahiroo,EXVS2,0x141646080,0x14068E280
010TURNAG,002TURNX0,001,Mahiroo,EXVS2,0x141646188,0x14068E280
010TURNAG,003GDSUMO,001,AssistSilversumoLaser,EXVS2,0x141646510,0x14068E280
010TURNAG,003GDSUMO,001,AssistSilversumoNagiharai,EXVS2,0x141646408,0x14068E280
010TURNAG,003GDSUMO,001,AssistSumoRushUniverse,EXVS2,0x141646620,0x14068E280
010TURNAG,003GDSUMO,001,HissatsuSumo,EXVS2,0x141646300,0x14068E280
010TURNAG,004KAPOOL,001,HammerShot,EXVS2,0x141646720,0x14068E280
010TURNAG,005CRNKPL,001,StickerDash,EXVS2,0x1416468A8,0x14068E280
010TURNAG,005CRNKPL,001,StickerHissatsu,EXVS2,0x1416469E8,0x14068E280
010TURNAG,005CRNKPL,001,StickerHumituke,EXVS2,0x141646948,0x14068E280
010TURNAG,005CRNKPL,001,ThrowMiashei,EXVS2,0x1416467D8,0x14068E280
012POCKET,002ZAK2FZ,001,AssistLinebombContainer,EXVS2,0x141646C98,0x14068E280
012POCKET,002ZAK2FZ,001,GrenadeThrow,EXVS2,0x141646AA0,0x14068E280
012POCKET,002ZAK2FZ,001,LineBombThrow,EXVS2,0x141646D50,0x14068E280
012POCKET,002ZAK2FZ,001,Santa,EXVS2,0x141646BA0,0x14068E280
012POCKET,004KAMPFR,001,ChainMine,EXVS2,0x141646DF0,0x14068E280
013GNDMSM,001GP01FB,001,BParts,EXVS2,0x141646EA0,0x14068E280
013GNDMSM,001GP01FB,001,Bpartsbomb,EXVS2,0x141646F40,0x14068E280
013GNDMSM,003GRBRTT,001,AssistGelgoogmGrap,EXVS2,0x1416471C0,0x14068E280
013GNDMSM,003GRBRTT,001,AssistGelgoogmShot,EXVS2,0x1416472C8,0x14068E280
013GNDMSM,003GRBRTT,001,HissatsuGelgoogm,EXVS2,0x141647090,0x14068E280
013GNDMSM,004GNGP03,001,AssistContainerL,EXVS2,0x141647570,0x14068E280
013GNDMSM,004GNGP03,001,AssistContainerR,EXVS2,0x141647678,0x14068E280
013GNDMSM,004GNGP03,001,BakuhuuExploder,EXVS2,0x141647468,0x14068E280
013GNDMSM,004GNGP03,001,ThrowBakudousakuHead,EXVS2,0x1416473C8,0x14068E280
013GNDMSM,004GNGP03,001,ThrowCluster,EXVS2,0x141647758,0x14068E280
013GNDMSM,004GNGP03,001,ThrowMicroSet,EXVS2,0x141647840,0x14068E280
013GNDMSM,004GNGP03,001,ThrowOrchis,EXVS2,0x141647920,0x14068E280
014GNDM00,001GNEXIA,001,GnDagger,EXVS2,0x141647A00,0x14068E280
014GNDM00,001GNEXIA,001,PurgeGnArmor,EXVS2,0x141647F90,0x14068E280
014GNDM00,001GNEXIA,001,StickerGnArmor,EXVS2,0x141647EB0,0x14068E280
014GNDM00,001GNEXIA,001,ThrowGnShortBlade,EXVS2,0x141647E10,0x14068E280
014GNDM00,002OOGNDM,001,GNDagger,EXVS2,0x141648070,0x14068E280
014GNDM00,002OOGNDM,001,ThrowBlade,EXVS2,0x141648158,0x14068E280
014GNDM00,004CHERDM,001,FunnelAssault,EXVS2,0x141648938,0x14068E280
014GNDM00,004CHERDM,001,FunnelAttachAssault,EXVS2,0x141648C80,0x14068E280
014GNDM00,004CHERDM,001,FunnelFly,EXVS2,0x1416482B8,0x14068E280
014GNDM00,004CHERDM,001,FunnelMateDefense,EXVS2,0x141648618,0x14068E280
014GNDM00,004CHERDM,001,FunnelSelfDefense,EXVS2,0x141648788,0x14068E280
014GNDM00,004CHERDM,001,FunnelShot,EXVS2,0x141648460,0x14068E280
014GNDM00,004CHERDM,001,FunnelTsukimatoiAssault,EXVS2,0x141648BB8,0x14068E280
014GNDM00,004CHERDM,001,Missile,EXVS2,0x141648A18,0x14068E280
014GNDM00,005ARCHEG,001,FangEnemy,EXVS2,0x141648DC8,0x14068E280
014GNDM00,005ARCHEG,001,FangFront,EXVS2,0x141648F60,0x14068E280
014GNDM00,005ARCHEG,001,FangRush,EXVS2,0x141649360,0x14068E280
014GNDM00,005ARCHEG,001,FangSword,EXVS2,0x1416490B0,0x14068E280
014GNDM00,005ARCHEG,001,FungSwordShot,EXVS2,0x141649208,0x14068E280
014GNDM00,006DYNAMS,001,Battery,EXVS2,0x141649460,0x14068E280
014GNDM00,006DYNAMS,001,GuidedMissile1st,EXVS2,0x141649620,0x14068E280
014GNDM00,006DYNAMS,001,GuidedMissile2nd,EXVS2,0x141649700,0x14068E280
014GNDM00,006DYNAMS,001,Missile,EXVS2,0x141649540,0x14068E280
014GNDM00,007REBONS,001,AssistGaga,EXVS2,0x141649B90,0x14068E280
014GNDM00,007REBONS,001,EggnerWhip,EXVS2,0x141649A80,0x14068E280
014GNDM00,007REBONS,001,FinFangSmall,EXVS2,0x1416499A8,0x14068E280
014GNDM00,007REBONS,001,FinFang_Large,EXVS2,0x141649850,0x14068E280
014GNDM00,007REBONS,001,SpwnerAssistGaga,EXVS2,0x141649C30,0x14068E280
014GNDM00,008THDREI,001,AssistThroneEineLaser,EXVS2,0x141649F10,0x14068E280
014GNDM00,008THDREI,001,AssistThroneEineShot,EXVS2,0x141649DF8,0x14068E280
014GNDM00,008THDREI,001,AssistThroneTweiRush,EXVS2,0x14164A038,0x14068E280
014GNDM00,008THDREI,001,AssistThroneTweiShot,EXVS2,0x14164A150,0x14068E280
014GNDM00,008THDREI,001,AssistThroneTweiShotPowerUp,EXVS2,0x14164A3A8,0x14068E280
014GNDM00,008THDREI,001,NotifyStealth,EXVS2,0x141649CD0,0x14068E280
014GNDM00,008THDREI,001,TweiFang,EXVS2,0x14164A2A0,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherBeamShot,EXVS2,0x14164A888,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherComboBeam,EXVS2,0x14164A990,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherComboHissatsu,EXVS2,0x14164ACA8,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherComboRoundLeft,EXVS2,0x14164AA98,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherComboRoundRight,EXVS2,0x14164ABA0,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherTransformToMA,EXVS2,0x14164A680,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherTransformToMS,EXVS2,0x14164A780,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherTsukimatoi,EXVS2,0x14164A490,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherTsukimatoiRecall,EXVS2,0x14164A578,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherWinloseAwake,EXVS2,0x14164ADF8,0x14068E280
014GNDM00,009ARIOSG,001,GNArcherWinloseNormal,EXVS2,0x14164AD50,0x14068E280
014GNDM00,012OOG7SG,001,Anchor,EXVS2,0x14164AF98,0x14068E280
014GNDM00,012OOG7SG,001,AssistDynamesRush,EXVS2,0x14164B738,0x14068E280
014GNDM00,012OOG7SG,001,AssistDynamesShotMissile,EXVS2,0x14164B420,0x14068E280
014GNDM00,012OOG7SG,001,AssistDynamesShotMissile_6_3,EXVS2,0x14164B608,0x14068E280
014GNDM00,012OOG7SG,001,BusterDocking,EXVS2,0x14164AEC8,0x14068E280
014GNDM00,012OOG7SG,001,SpawnerRedlockBullet,EXVS2,0x14164B2E8,0x14068E280
014GNDM00,012OOG7SG,001,ThrowDynamesMissile,EXVS2,0x14164B500,0x14068E280
014GNDM00,012OOG7SG,001,ThrowGNDagger,EXVS2,0x14164B248,0x14068E280
014GNDM00,012OOG7SG,001,ThrowGNQatar,EXVS2,0x14164B078,0x14068E280
014GNDM00,012OOG7SG,001,ThrowGNQatarTwin,EXVS2,0x14164B158,0x14068E280
014GNDM00,012OOG7SG,002,Anchor,EXVS2,0x14164B8D0,0x14068E280
014GNDM00,012OOG7SG,002,AssistDynamesRush,EXVS2,0x14164BD20,0x14068E280
