class_series,class_unit,class_variant,class_weapon,base_class,visibility,is_virtual,mdisp,pdisp,vdisp,attributes
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,DelayExplosion,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,DelayExplosion,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,DelayExplosion,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,DelayExplosion,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_FreeFall@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskAutomataFreeFall@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,FreeFall,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,FreeFall,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,FreeFall,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_FreeFall_Interaction@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskAutomataFreeFall_Interaction@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,FreeFall_Interaction,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_PurgeFly@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskAutomataFreeFly@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PurgeFly,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,PurgeFly,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,PurgeFly,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,PurgeFly,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_PutObj@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskAutomataPutObj@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,PutObj,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,PutObj,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,PutObj,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,PutObj,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ShockHalo@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskAutomataShockHalo@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ShockHalo,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ShockHalo,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ShockHalo,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ShockHalo,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_StickSaber@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskAutomataSticker@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,StickSaber,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,StickSaber,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,StickSaber,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,StickSaber,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowBlade@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAutomataThrowBlade@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowBlade,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ThrowBlade,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowBlade,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowBlade,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowMissile@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowMissile,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ThrowMissile,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowMissile,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowMissile,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowPillar@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAutomataThrowPillar@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillar,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ThrowPillar,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowPillar,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowPillar,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowPillarLaunchJointYAxis@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomataThrowPillarLaunchJointYAxis@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomataThrowPillar@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowPillarLaunchJointYAxis,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowSaber@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaber,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ThrowSaber,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowSaber,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowSaber,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowSaberRolling@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAutomataThrowStopRotateOnStick@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCTaskEntityParAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVCTaskEntityAbstract@DEV@VDK@@,invisible,False,0,-1,0,0x49
000COMMON,000COMMON,001,ThrowSaberRolling,.?AVnoncopyable@noncopyable_@boost@@,invisible private/protected,False,8,-1,0,0x4D
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowSaberRollingNoBindHit@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomata_000COMMON_000COMMON_001_ThrowSaberRolling@EXVS2@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomataThrowStopRotateOnStick@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomataThrow@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomataRadiconParentActor@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomataRadicon@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAutomataAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskActorProjectileAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskActorAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskBattleAbstract@GAM@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCUnitTaskAbstract@FWK@VDK@@,public,False,0,-1,0,0x40
000COMMON,000COMMON,001,ThrowSaberRollingNoBindHit,.?AVCTaskEntityActAbstract@DEV@VDK@@,invisible private/protected,False,0,-1,0,0x4D
